                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.71913,                 3.3809,                0.28658,                0.46874,                 1.0231,                0.97424,                0.97951,                0.99088,                0.89518,                0.85047,                 0.8166,                0.82821,                0.66786,                0.55765,                 2.1013,                0.07805,                0.31588,                0.85159,              0.0076735,              0.0076735,              0.0076735
                     49,                0.72217,                 3.4123,                0.28794,                0.47073,                  1.025,                0.97402,                0.97938,                0.99092,                0.89511,                0.85154,                0.81763,                0.83046,                0.67027,                 0.5561,                 2.0798,                0.07796,                0.31478,                0.85145,               0.007624,               0.007624,               0.007624
                     50,                0.71402,                 3.3608,                0.28522,                0.46588,                 1.0191,                0.97427,                0.97961,                0.99091,                0.89524,                0.85385,                0.81852,                0.83389,                0.67363,                0.55536,                 2.0845,                0.07753,                0.31458,                0.85118,              0.0075745,              0.0075745,              0.0075745
                     51,                0.71439,                 3.3483,                0.28381,                0.46339,                 1.0185,                0.97437,                0.97964,                0.99126,                0.89561,                0.85204,                0.82147,                0.83391,                0.67414,                0.55507,                  2.084,                0.07764,                0.31394,                0.85071,               0.007525,               0.007525,               0.007525
                     52,                0.71482,                 3.3467,                0.28189,                0.46754,                 1.0188,                 0.9749,                0.98012,                0.99092,                0.89588,                0.85176,                0.82108,                0.83382,                0.67535,                0.55489,                 2.0841,                0.07705,                0.31316,                 0.8505,              0.0074755,              0.0074755,              0.0074755
                     53,                0.71255,                 3.3643,                0.28193,                0.46441,                 1.0196,                0.97489,                0.97938,                0.99094,                0.89566,                0.85055,                0.82031,                0.83326,                 0.6764,                0.55516,                 2.0892,                0.07669,                0.31286,                0.85058,               0.007426,               0.007426,               0.007426
                     54,                 0.7136,                  3.371,                0.28292,                  0.462,                 1.0199,                 0.9739,                0.97964,                 0.9909,                0.89591,                0.84844,                0.82238,                0.83332,                0.67721,                0.55495,                 2.0861,                0.07634,                0.31238,                0.85044,              0.0073765,              0.0073765,              0.0073765
                     55,                 0.7102,                 3.3167,                0.28182,                0.46107,                 1.0177,                 0.9739,                0.97974,                0.99086,                0.89648,                0.84774,                0.82289,                0.83355,                0.67756,                0.55428,                 2.0845,                0.07628,                0.31179,                0.85003,               0.007327,               0.007327,               0.007327
                     56,                0.70709,                 3.3257,                0.28106,                0.45879,                 1.0198,                0.97379,                0.97951,                0.99085,                0.89625,                0.84741,                  0.823,                0.83312,                0.67771,                0.55401,                 2.0793,                0.07629,                0.31137,                 0.8501,              0.0072775,              0.0072775,              0.0072775
                     57,                0.71361,                 3.3282,                0.28006,                0.46267,                 1.0193,                0.97409,                0.97964,                0.99085,                0.89647,                0.84771,                0.82351,                0.83388,                0.67886,                0.55392,                 2.0707,                0.07598,                0.31117,                0.85022,               0.007228,               0.007228,               0.007228
                     58,                 0.7081,                 3.2916,                0.27949,                0.46317,                   1.02,                0.97418,                0.97989,                0.99086,                0.89634,                0.84856,                0.82457,                 0.8353,                0.67952,                0.55372,                 2.0643,                0.07587,                0.31076,                0.85043,              0.0071785,              0.0071785,              0.0071785
